Category	Occupation	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali-HF	Bengali-HP	Bengali-TF	Bengali-TP	Bengali-EF	Bengali-EP	Japanese	Turkish	Yoruba	Basque	Swahili	Chinese
Management occupations	Legislator	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	Male	Neutral	?	Male	?
Management occupations	Lodging manager	Male	Male	Female	Female	Male	?	Neutral	Male	Male	?	Male	Neutral	?	?	?	Male	?
Management occupations	Mail superintendent	Male	Male	Female	Male	?	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Female	?
Management occupations	Marketing manager	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Management occupations	Medical services manager	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Natural sciences manager	Male	Male	Female	Male	Male	?	Neutral	Male	Male	?	Male	Neutral	?	Male	?	Male	?
Management occupations	Operations manager	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	Male
Management occupations	Postmaster	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Management occupations	Promotions manager	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Property manager	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Male	?	Female	?
Management occupations	Public relations manager	Male	Male	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Management occupations	Purchasing manager	Male	Male	Female	Female	Female	?	Neutral	Male	Male	Female	Male	?	?	Neutral	?	Male	?
Management occupations	Rancher	Male	Male	Female	Female	?	Male	Neutral	Male	Male	Female	Male	Male	?	Male	?	Female	?
Management occupations	Real estate manager	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Management occupations	Sales manager	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Male	?	Female	?
Management occupations	Social manager	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Management occupations	Storage manager	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	?	?	Male	?
Management occupations	Training manager	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Management occupations	Transportation manager	Male	Male	Male	Female	?	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Air conditioning installer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	?	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Air conditioning mechanic	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Aircraft mechanic	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	Neutral	Male	?
Installation, maintenance, and repair occupations	Aircraft service technician	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	Neutral	Male	?
Installation, maintenance, and repair occupations	Amusement machine repairer	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Amusement machine servicer	Male	Male	Male	Female	Male	?	Male	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Automated teller repairer	Male	Female	Female	Male	?	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Automotive glass installer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Automotive glass repairer	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	?	?	Female	?
Installation, maintenance, and repair occupations	Automotive mechanic	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Automotive repairer	Male	Male	Male	Female	Male	?	Neutral	Male	Male	?	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Automotive service technician	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Avionics technician	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Bus mechanic	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Coin machine repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Coin machine servicer	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Computer repairer	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Control installer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Control repairer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Diesel engine specialist	Male	Male	Male	Male	Male	?	Neutral	?	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Diver	Male	Female	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Female	?
Installation, maintenance, and repair occupations	Electric motor repairers	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Electrical power-line installer	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	?	?	Male	?
Installation, maintenance, and repair occupations	Electrical power-line repairer	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	?	?	?	?	Male	?
Installation, maintenance, and repair occupations	Electronic home entertainment equipment installer	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Electronic home entertainment equipment repairer	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Fire alarm systems installer	Male	Male	Male	Male	Male	?	Male	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	First-line supervisor of installers	Male	Male	Male	Female	?	?	Neutral	Male	Male	?	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	First-line supervisor of mechanics	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	First-line supervisor of repairers	Male	Male	Male	Male	Male	Male	Male	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Heating installer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Male	?	Male	?
Installation, maintenance, and repair occupations	Heating mechanic	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Female	?
Installation, maintenance, and repair occupations	Heavy vehicle mechanic	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Male	Male	Neutral	Male	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Heavy vehicle service technician	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Home appliance repairer	Male	Female	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	?	?	Male	?
Installation, maintenance, and repair occupations	Industrial electrical repairer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Industrial electronics repairer	Male	Male	Male	Male	Male	Male	Male	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Industrial machinery mechanic	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Installation worker	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Installation worker helper	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Locksmith	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Male	?	Female	Male
Installation, maintenance, and repair occupations	Machinery maintenance worker	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Maintenance worker	Male	Male	Male	Male	Male	?	Neutral	Male	Male	?	Male	Male	?	Neutral	?	Male	Male
Installation, maintenance, and repair occupations	Maintenance worker	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Maintenance workers helper	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Male	?	Male	?
Installation, maintenance, and repair occupations	Manufactured building installer	Male	Male	Male	Male	?	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Millwright	Female	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	Neutral	Female	?
Installation, maintenance, and repair occupations	Mobile equipment installer	Male	Male	Female	Male	Male	?	Neutral	Male	Male	?	Male	Male	?	?	Neutral	Male	?
Installation, maintenance, and repair occupations	Mobile equipment mechanic	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Mobile equipment mechanic	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Mobile equipment repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Mobile equipment service technician	Male	Male	Male	Male	Male	?	Neutral	?	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Mobile home installer	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Motor vehicles electronic equipment installer	Male	Male	Male	Male	Neutral	?	Neutral	Male	Male	Male	Male	Male	?	Male	?	Male	?
Installation, maintenance, and repair occupations	Motor vehicles electronic equipment repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Office machine repairer	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Power tool repairers	Male	Male	Female	Female	Male	?	Neutral	?	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Precision equipment repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Precision instrument repairer	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Radio installer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Radio repairer	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Refractory machinery mechanic	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Refrigeration installer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Refrigeration mechanic	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Repair worker	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Repair worker	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Repair workers helpers	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Rigger	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Safe repairer	Male	Female	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Female	?
Installation, maintenance, and repair occupations	Security systems installer	Male	Male	Male	Male	?	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Signal and track switch repairers	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Small engine mechanic	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Female	?	Male	?
Installation, maintenance, and repair occupations	Telecommunications equipment installer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Telecommunications equipment repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Telecommunications line installer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Telecommunications repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Transportation equipment electrical installer	Male	Male	Male	Female	Male	?	Neutral	Male	Male	?	Male	Neutral	?	Neutral	?	Female	?
Installation, maintenance, and repair occupations	Transportation equipment electrical repairer	Male	Male	Male	Male	Male	?	Neutral	?	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Transportation equipment electronics installer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Transportation equipment electronics repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	?	Male	Male	?	Neutral	?	Male	Male
Installation, maintenance, and repair occupations	Truck mechanic	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Male	Male	Male	?	?	?	Male	?
Installation, maintenance, and repair occupations	Utility Electrical repairer	Male	Male	Male	Female	Neutral	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Utility electronics repairer	Male	Male	Male	Male	Male	?	Male	Male	Male	Male	Male	Neutral	?	?	?	Male	?
Installation, maintenance, and repair occupations	Valve installer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Male	Neutral	Male	?
Installation, maintenance, and repair occupations	Valve repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	?	?	Male	Male
Installation, maintenance, and repair occupations	Vehicle installer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	Male
Installation, maintenance, and repair occupations	Vehicle mechanic	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	?	?	Male	?
Installation, maintenance, and repair occupations	Vehicle repairer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	?	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Vending machine repairer	Male	Male	Male	Male	?	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Installation, maintenance, and repair occupations	Vending machine servicer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	?	?	Male	Male
Installation, maintenance, and repair occupations	Wind turbine service technician	Male	Male	Male	Male	?	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Audiologist	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Chiropractor	Male	Female	Male	Male	Female	Male	Male	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Clinical laboratory technician	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Male	Male	?
Healthcare practitioners and technical occupations	Clinical laboratory technologist	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Dental hygienist	Male	Female	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Dentist	Male	Female	Female	Female	Male	?	Neutral	Male	Male	?	Male	Neutral	?	Neutral	Male	Male	?
Healthcare practitioners and technical occupations	Diagnostic technician	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Diagnostic technologist	Male	Male	Male	Male	Male	?	Neutral	?	Male	Male	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Dietitian	Male	Female	Female	Female	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Female	?
Healthcare practitioners and technical occupations	Emergency medical technician	Male	Male	Male	Female	Female	?	Neutral	Male	Male	?	Male	Neutral	?	Neutral	?	Female	?
Healthcare practitioners and technical occupations	Exercise physiologist	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Healthcare practitioners and technical occupations	Health diagnosing practitioner	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Health information technician	Male	Female	Female	Female	Female	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Health practitioner support technician	Male	Male	Female	Male	Female	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Health practitioner support technologist	Male	Male	Male	Female	Female	Male	Male	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Health technician	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Health technologist	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Health treating practitioner	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Healthcare practitioner	Male	Female	Female	Female	Male	?	Neutral	Male	Male	?	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Licensed practical nurse	Male	Female	Female	Female	?	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Licensed vocational nurses	Female	Female	Female	Female	Female	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Medical records technician	Male	Female	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Nurse anesthetist	Female	Female	Female	Female	Female	?	Neutral	?	Male	Female	Male	Male	?	Neutral	Male	Male	Male
Healthcare practitioners and technical occupations	Nurse midwife	Female	Female	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	Male	Male	?
Healthcare practitioners and technical occupations	Nurse practitioner	Female	Male	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	Male
Healthcare practitioners and technical occupations	Nutritionist	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Occupational therapist	Male	Female	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	Male
Healthcare practitioners and technical occupations	Optician	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Female	?
Healthcare practitioners and technical occupations	Optometrist	Male	Female	Male	Female	?	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Paramedic	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Pharmacist	Male	Female	Female	Female	Male	Male	Male	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Physical therapist	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Male	?	Male	?
Healthcare practitioners and technical occupations	Physician	Male	Female	Male	Male	Male	Male	Male	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Physician assistant	Female	Female	Female	Female	Male	?	Male	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Podiatrist	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Radiation therapist	Male	Female	Female	Male	Male	?	Neutral	Male	Male	Male	Male	?	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Recreational therapist	Male	Female	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Registered nurse	Female	Female	Female	Female	Female	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Respiratory therapist	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Male	Male	?	?	Neutral	?	Male	?
Healthcare practitioners and technical occupations	Speech-language pathologist	Male	Male	Male	Female	Male	?	Neutral	Male	Male	?	Male	Neutral	?	Neutral	?	Female	?
Healthcare practitioners and technical occupations	Surgeon	Female	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Healthcare practitioners and technical occupations	Therapist	Male	Female	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	Male
Healthcare practitioners and technical occupations	Veterinarian	Male	Female	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Male	Male	?
Community and social service occupations	Cleric	Male	Male	Male	Male	Male	Male	Male	Male	Male	Male	Male	?	Male	Neutral	?	Male	?
Community and social service occupations	Community health worker	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Community and social service occupations	Community specialist	Male	Female	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Female	?
Community and social service occupations	Correctional treatment specialist	Male	Male	Female	Male	Male	?	Male	?	Male	Female	Male	Male	?	Neutral	?	Male	?
Community and social service occupations	Counselor	Male	Female	Female	Male	Male	?	Neutral	Male	Male	?	Male	Male	?	?	?	Male	?
Community and social service occupations	Education Director	Male	Male	Male	Female	Female	Male	Neutral	Male	Male	Female	Male	Neutral	Male	Neutral	Neutral	Male	?
Community and social service occupations	Health educator	Male	Female	Male	Female	Female	?	Neutral	Male	Male	?	Male	Male	?	Neutral	?	Male	?
Community and social service occupations	Human service assistant	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Community and social service occupations	Probation officer	Male	Male	Male	Male	Male	?	Neutral	Male	Male	?	Male	Male	?	Neutral	?	Male	?
Community and social service occupations	Religious activities director	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Community and social service occupations	Religious worker	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Male	Male	Male
Community and social service occupations	Social service assistant	Male	Female	Female	Female	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Community and social service occupations	Social service specialist	Male	Female	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Community and social service occupations	Social worker	Male	Female	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Sales and related occupations	Advertising sales agent	Male	Male	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Sales and related occupations	Cashier	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Sales and related occupations	Commodities sales agent	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Sales and related occupations	Counter clerk	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Sales and related occupations	Demonstrator	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Sales and related occupations	Door-to-door sales worker	Male	Female	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Sales and related occupations	Door-to-door salesperson	Male	Female	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Sales and related occupations	Financial services sales agent	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Sales and related occupations	First-line supervisor of non-retail sales workers	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Sales and related occupations	First-line supervisor of retail sales workers	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Sales and related occupations	Insurance sales agent	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Sales and related occupations	Manufacturing sales representatives	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Sales and related occupations	Model	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Female	?
Sales and related occupations	News vendor	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Sales and related occupations	Parts salesperson	Male	Male	Male	Male	Male	?	Male	Male	Male	Male	Male	Neutral	?	Neutral	?	Female	?
Sales and related occupations	Product promoter	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Female	?
Sales and related occupations	Real estate broker	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Sales and related occupations	Real estate sales agent	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Sales and related occupations	Rental clerk	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Sales and related occupations	Retail salesperson	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
